openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01,1.86057000,2.30100000,1.78000000,1.96621000,61686488.30000000,1609545599999,128251015.14301300,270227,32495090.30000000,67646531.04668000,0
2021-01-02,1.97024000,2.51000000,1.92616000,2.40024000,49550110.70000000,1609631999999,109925153.90595300,238117,25360728.10000000,56320294.99565900,0
2021-01-03,2.40426000,2.42000000,2.06110000,2.12597000,34800595.80000000,1609718399999,77559949.73428500,165580,16799353.20000000,37470672.44779700,0
2021-01-04,2.12904000,2.26175000,1.76110000,1.96868000,39107791.90000000,1609804799999,77443124.75991600,187554,19324496.00000000,38270115.19422200,0
2021-01-05,1.96989000,2.35586000,1.91301000,2.13193000,37264460.10000000,1609891199999,80004022.39310200,173959,18934507.10000000,40588068.02820000,0
2021-01-06,2.13223000,2.31500000,2.06601000,2.16676000,22699316.10000000,1609977599999,49833805.81137300,113145,11502331.70000000,25282989.86995000,0
2021-01-07,2.16720000,2.17317000,1.88450000,1.98791000,19169268.90000000,1610063999999,39456710.25982200,95905,9621333.80000000,19818875.42252400,0
2021-01-08,1.99127000,2.04085000,1.78001000,1.99427000,16842287.20000000,1610150399999,32504333.18705100,86531,8548088.80000000,16523793.94340100,0
2021-01-09,1.98806000,2.20214000,1.88947000,2.04103000,16532632.70000000,1610236799999,33985908.48704800,85965,8805994.80000000,18113884.96681700,0
2021-01-10,2.04116000,2.10400000,1.83991000,1.98621000,17604909.20000000,1610323199999,34915176.00486600,85326,8761387.40000000,17400611.14997000,0
2021-01-11,1.98593000,1.99058000,1.46000000,1.81684000,27068737.60000000,1610409599999,45553254.04212100,114649,13143120.80000000,22130102.74670700,0
2021-01-12,1.82056000,2.00000000,1.73501000,1.82150000,19010550.50000000,1610495999999,35854916.62589600,82459,9631121.90000000,18195632.32443900,0
2021-01-13,1.82300000,2.15440000,1.76388000,2.09522000,17511794.10000000,1610582399999,35225956.98380700,87638,8839602.60000000,17769812.48644700,0
2021-01-14,2.09774000,2.26017000,2.01411000,2.19146000,19837101.80000000,1610668799999,42285981.21442500,84285,10267609.70000000,21899543.19821800,0
2021-01-15,2.19163000,2.20842000,1.87600000,2.05549000,18049797.70000000,1610755199999,37356101.94363900,84247,9014752.90000000,18693696.09506900,0
2021-01-16,2.05202000,2.28000000,1.98000000,2.04406000,17359135.20000000,1610841599999,36690945.51909400,84733,8709335.80000000,18413747.81448700,0
2021-01-17,2.04301000,2.10991000,1.93395000,2.00854000,14187806.70000000,1610927999999,28694908.21320300,65584,6854145.20000000,13865927.67246500,0
2021-01-18,2.00756000,2.08888000,1.96382000,2.04695000,14452064.70000000,1611014399999,29163572.04336100,62856,7679565.60000000,15490378.44651700,0
2021-01-19,2.04633000,2.10610000,1.98300000,1.99800000,13780252.00000000,1611100799999,28260901.88078200,68838,7065241.30000000,14482197.78647300,0
2021-01-20,1.99801000,2.04220000,1.83681000,2.03281000,11811593.70000000,1611187199999,23094084.79836200,59982,5661217.90000000,11078671.11229800,0
2021-01-21,2.03294000,2.04242000,1.71000000,1.74180000,11328508.60000000,1611273599999,21303166.60032300,57138,5464331.50000000,10287964.36910700,0
2021-01-22,1.74026000,1.98220000,1.60509000,1.89757000,14016588.60000000,1611359999999,25675731.20360900,65613,7094097.20000000,12993510.83480800,0
2021-01-23,1.89660000,2.02000000,1.86421000,1.92880000,10153428.30000000,1611446399999,19807232.94279400,48566,5283942.90000000,10310003.06114200,0
2021-01-24,1.93071000,2.01363000,1.88034000,1.95055000,8255673.00000000,1611532799999,16093367.49302900,39101,4330046.90000000,8443560.63484300,0
2021-01-25,1.94903000,2.30626000,1.92808000,2.07529000,23655913.80000000,1611619199999,50708851.30877800,107286,12426677.30000000,26656526.15803300,0
2021-01-26,2.07752000,2.41950000,2.05559000,2.28700000,25414333.60000000,1611705599999,57520979.79110700,116676,12720459.50000000,28812866.68399400,0
2021-01-27,2.28384000,2.28703000,1.95623000,1.99307000,15025977.40000000,1611791999999,31099996.21359400,69621,7319086.80000000,15115438.47497400,0
2021-01-28,1.99113000,2.10544000,1.93000000,1.99193000,12325627.00000000,1611878399999,24902248.62862400,62583,6046073.90000000,12230467.53188800,0
2021-01-29,1.99072000,2.17600000,1.96638000,2.05641000,15277359.10000000,1611964799999,31413402.39733400,80537,7905766.40000000,16259195.33565000,0
2021-01-30,2.05678000,2.08000000,1.98417000,2.00197000,7356504.10000000,1612051199999,14843236.36517700,38934,3656664.10000000,7377848.91624000,0
2021-01-31,2.00316000,2.03688000,1.88200000,1.91015000,8503981.00000000,1612137599999,16667855.48358800,49520,3961828.30000000,7769217.26040500,0
