openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01,149.03000000,155.00000000,139.70000000,145.54000000,76859.21463000,1609545599999,11146595.58995650,34915,47572.29334000,6899295.40246420,0
2021-01-02,145.56000000,147.67000000,134.48000000,136.71000000,31185.10701000,1609631999999,4415335.44047740,21242,15870.17115000,2250093.08037700,0
2021-01-03,136.60000000,151.69000000,135.58000000,146.90000000,41745.14054000,1609718399999,6027060.45287550,29157,21314.37728000,3082158.02650790,0
2021-01-04,146.92000000,161.92000000,137.00000000,151.24000000,66438.03751000,1609804799999,9972985.83524760,46156,31750.43926000,4766602.95019620,0
2021-01-05,151.25000000,166.31000000,146.52000000,161.48000000,52769.13739000,1609891199999,8307579.83093150,42569,27770.88679000,4379418.82893360,0
2021-01-06,161.44000000,187.00000000,159.43000000,183.98000000,58194.95924000,1609977599999,10061056.11954520,50939,29650.87479000,5130889.71926040,0
2021-01-07,184.27000000,191.94000000,165.38000000,172.45000000,87963.61578000,1610063999999,15775534.18627780,67739,42764.87609000,7679597.76941180,0
2021-01-08,172.58000000,181.55000000,153.12000000,165.75000000,65428.13638000,1610150399999,10860020.58302440,51256,30583.36748000,5080541.76201370,0
2021-01-09,165.66000000,186.29000000,161.17000000,179.95000000,37925.08683000,1610236799999,6568189.58550040,37293,19493.41029000,3378326.23814410,0
2021-01-10,180.01000000,208.97000000,169.56000000,194.39000000,90899.09087000,1610323199999,17450588.60224190,73805,47250.75229000,9069748.99579000,0
2021-01-11,194.55000000,196.85000000,147.51000000,168.59000000,91373.36032000,1610409599999,15122794.36822570,68340,45780.24784000,7586401.45983830,0
2021-01-12,168.58000000,201.86000000,162.01000000,183.80000000,69903.01437000,1610495999999,13159836.48341660,52763,34651.76983000,6540663.43296930,0
2021-01-13,183.78000000,219.07000000,174.50000000,211.04000000,71119.97016000,1610582399999,14453924.10084550,50253,35330.52088000,7182624.86770210,0
2021-01-14,210.97000000,225.00000000,201.81000000,214.50000000,61416.83631000,1610668799999,13119954.23751770,42976,31157.09394000,6671691.18099820,0
2021-01-15,214.68000000,218.00000000,187.05000000,202.56000000,58475.33848000,1610755199999,11942096.77279290,40659,31213.06527000,6372163.20322320,0
2021-01-16,203.09000000,219.95000000,200.32000000,207.00000000,42651.83714000,1610841599999,9061166.55872870,36953,22281.68223000,4735698.60447410,0
2021-01-17,207.00000000,229.00000000,200.17000000,216.96000000,52158.11646000,1610927999999,11196083.31980980,44353,27855.77792000,5994886.78646470,0
2021-01-18,217.14000000,238.99000000,207.14000000,225.91000000,47319.21806000,1611014399999,10670992.03978220,41575,23286.95443000,5267164.28890910,0
2021-01-19,226.21000000,234.90000000,210.18000000,211.22000000,40276.26352000,1611100799999,9037324.07720930,37183,19272.84957000,4329537.75381450,0
2021-01-20,211.41000000,218.35000000,198.28000000,212.39000000,36760.44324000,1611187199999,7658332.52084510,29367,17815.19070000,3721828.87923570,0
2021-01-21,212.77000000,213.71000000,174.53000000,176.64000000,52327.18725000,1611273599999,10069974.07406000,38476,26914.02188000,5192116.40176120,0
2021-01-22,176.33000000,209.09000000,165.47000000,199.71000000,42071.87662000,1611359999999,8007507.63230140,36825,20295.22690000,3886982.22564910,0
2021-01-23,199.49000000,213.55000000,196.74000000,206.98000000,21875.59262000,1611446399999,4507154.91470640,27869,11653.89291000,2402822.38123130,0
2021-01-24,206.97000000,253.04000000,205.11000000,250.06000000,59373.87296000,1611532799999,13585744.36116870,54166,33095.49098000,7568025.87702380,0
2021-01-25,250.38000000,258.82000000,206.15000000,212.81000000,63642.86608000,1611619199999,14900707.00817500,56834,30631.91799000,7175179.01193840,0
2021-01-26,212.75000000,241.99000000,205.16000000,237.90000000,54031.36972000,1611705599999,12030334.21270780,50301,26602.79297000,5925596.87639150,0
2021-01-27,237.91000000,239.84000000,209.66000000,219.12000000,39485.87126000,1611791999999,8874530.14242130,39048,20193.76776000,4548235.30965890,0
2021-01-28,218.83000000,268.00000000,213.81000000,252.03000000,53314.67291000,1611878399999,13043595.05855530,54926,25577.36070000,6249291.32858260,0
2021-01-29,251.52000000,304.00000000,236.56000000,295.88000000,68848.78740000,1611964799999,18039673.62267090,67331,34435.82853000,9064285.61944640,0
2021-01-30,295.17000000,340.00000000,278.98000000,338.20000000,114437.65004000,1612051199999,35911806.40968940,119085,60494.20272000,19013605.19389870,0
2021-01-31,338.36000000,349.00000000,304.84000000,347.19000000,63201.68979000,1612137599999,20483920.97184640,71719,30517.71525000,9907062.49959700,0
