openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-10-02,0.13710000,0.29000000,0.13710000,0.17010000,44354093.53000000,1601683199999,8656563.76624700,43187,20782287.67000000,4088563.25467200,0
2020-10-03,0.17100000,0.17960000,0.13780000,0.13850000,10411442.14000000,1601769599999,1626731.14779300,9017,4254014.95000000,670917.43660400,0
2020-10-04,0.13800000,0.14820000,0.13300000,0.13970000,5400289.95000000,1601855999999,760936.33643200,4194,2261077.67000000,319921.44442700,0
2020-10-05,0.13970000,0.14890000,0.12810000,0.13230000,4266843.69000000,1601942399999,589957.47564700,4254,1810652.41000000,249518.28193600,0
2020-10-06,0.13210000,0.13410000,0.11100000,0.11170000,2613930.84000000,1602028799999,322701.60631300,2333,1165339.71000000,143884.15515400,0
2020-10-07,0.11170000,0.14950000,0.10700000,0.13260000,4024146.52000000,1602115199999,509624.94998000,5696,2024059.82000000,256289.48036000,0
2020-10-08,0.13220000,0.14000000,0.11100000,0.12470000,2732928.65000000,1602201599999,342132.07574200,3762,1245997.96000000,156521.23543100,0
2020-10-09,0.12470000,0.13500000,0.12300000,0.12920000,1524006.85000000,1602287999999,197135.51084200,1608,686329.61000000,88735.62345400,0
2020-10-10,0.12940000,0.14200000,0.12860000,0.13410000,1021217.90000000,1602374399999,140027.39986800,1496,428652.11000000,58585.53736300,0
2020-10-11,0.13430000,0.14160000,0.13110000,0.13580000,1092080.65000000,1602460799999,147287.34376100,1669,455850.38000000,61761.38192600,0
2020-10-12,0.13550000,0.13980000,0.13100000,0.13690000,1045119.55000000,1602547199999,140803.26977600,1255,509447.21000000,68671.01460200,0
2020-10-13,0.13620000,0.14190000,0.13310000,0.13690000,967131.14000000,1602633599999,131388.96036000,1617,354761.05000000,48407.86020400,0
2020-10-14,0.13690000,0.13790000,0.12220000,0.12810000,1444235.98000000,1602719999999,183673.77793200,1602,624967.10000000,79639.30400400,0
2020-10-15,0.12780000,0.14630000,0.12280000,0.13740000,4093847.89000000,1602806399999,555885.89302700,5237,1854411.99000000,252732.07065600,0
2020-10-16,0.13740000,0.13870000,0.12020000,0.12110000,2175479.32000000,1602892799999,279118.94948100,2658,1099448.24000000,141611.46067900,0
2020-10-17,0.12100000,0.12800000,0.12010000,0.12500000,689049.82000000,1602979199999,85186.98398800,699,380094.28000000,47210.67089000,0
2020-10-18,0.12510000,0.13110000,0.12480000,0.12900000,914665.09000000,1603065599999,117425.33152300,691,400933.32000000,51512.54025100,0
2020-10-19,0.12990000,0.13050000,0.12000000,0.12370000,2211487.44000000,1603151999999,282331.80048900,1885,1067391.80000000,136271.34203600,0
2020-10-20,0.12380000,0.12410000,0.10600000,0.10810000,2847371.05000000,1603238399999,324361.37293800,2280,1234119.01000000,140768.33104200,0
2020-10-21,0.10830000,0.11840000,0.10200000,0.11370000,3625859.09000000,1603324799999,394009.58931800,2954,1567961.58000000,170835.43000000,0
