openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2019-09-29,0.03103000,0.04400000,0.03103000,0.03556000,25899875.50000000,1569801599999,943843.44728800,4823,10975605.00000000,398123.48378200,0
2019-09-30,0.03555000,0.04745000,0.03481000,0.03780000,40937695.70000000,1569887999999,1642746.58642800,8563,15438187.50000000,614657.55597100,0
2019-10-01,0.03799000,0.04000000,0.03692000,0.03876000,16982421.30000000,1569974399999,651885.13722400,4365,7949091.20000000,307178.30887000,0
2019-10-02,0.03890000,0.03967000,0.03553000,0.03750000,8858024.30000000,1570060799999,328576.85075800,2538,3565950.90000000,132604.99913500,0
2019-10-03,0.03750000,0.04025000,0.03557000,0.03750000,8395022.70000000,1570147199999,317023.97424600,2906,3382744.90000000,129642.10632900,0
2019-10-04,0.03744000,0.03900000,0.03622000,0.03860000,5552424.00000000,1570233599999,208891.61228100,2384,2686508.40000000,101376.88031600,0
2019-10-05,0.03860000,0.04236000,0.03829000,0.04193000,13216832.40000000,1570319999999,537203.00658300,5825,6473342.10000000,263101.10864000,0
2019-10-06,0.04177000,0.04260000,0.03736000,0.03804000,6661246.30000000,1570406399999,262688.81020400,2687,2408307.90000000,95242.89730100,0
2019-10-07,0.03804000,0.03934000,0.03604000,0.03813000,9975507.90000000,1570492799999,374751.65468800,2450,4099887.30000000,154422.82809400,0
2019-10-08,0.03823000,0.03930000,0.03712000,0.03888000,5082658.00000000,1570579199999,194256.32497100,1347,2469293.10000000,94673.96822600,0
2019-10-09,0.03888000,0.04001000,0.03839000,0.03891000,5369584.90000000,1570665599999,209806.82292100,1795,2685905.20000000,105132.66736100,0
2019-10-10,0.03909000,0.03910000,0.03697000,0.03835000,5553539.60000000,1570751999999,209766.57838700,1647,1963572.20000000,74204.28093400,0
2019-10-11,0.03815000,0.03815000,0.03523000,0.03595000,7197048.80000000,1570838399999,261046.86676800,1673,3262221.80000000,118240.67829300,0
2019-10-12,0.03597000,0.03625000,0.03449000,0.03510000,4681412.70000000,1570924799999,165597.46471800,1088,2213299.60000000,78505.77832600,0
2019-10-13,0.03513000,0.03548000,0.03299000,0.03306000,2829724.00000000,1571011199999,96929.20717700,865,1127592.70000000,38655.86101300,0
2019-10-14,0.03307000,0.03827000,0.03236000,0.03698000,10931050.70000000,1571097599999,380222.28183800,3053,5698960.30000000,197835.43306900,0
2019-10-15,0.03691000,0.04099000,0.03568000,0.03762000,10069985.50000000,1571183999999,377948.19634600,3625,4188463.40000000,158373.68411800,0
2019-10-16,0.03771000,0.03873000,0.03500000,0.03757000,10018103.80000000,1571270399999,370114.36229500,3179,3937505.60000000,145373.07911400,0
2019-10-17,0.03743000,0.03743000,0.03381000,0.03508000,8252817.30000000,1571356799999,289172.28329600,2083,3138694.60000000,109898.62597300,0
2019-10-18,0.03508000,0.03609000,0.03336000,0.03391000,8054778.00000000,1571443199999,277768.57781900,2039,4046742.00000000,139472.80707900,0
2019-10-19,0.03375000,0.03425000,0.03288000,0.03344000,3835529.80000000,1571529599999,127884.70788400,915,2077911.50000000,69171.78389300,0
2019-10-20,0.03374000,0.03416000,0.03266000,0.03321000,4002699.90000000,1571615999999,132833.26153600,1130,1797455.60000000,59783.69681800,0
2019-10-21,0.03324000,0.03454000,0.03287000,0.03324000,3050588.80000000,1571702399999,103036.46049300,1332,1275364.70000000,43185.20047700,0
2019-10-22,0.03330000,0.03370000,0.03147000,0.03154000,10678714.40000000,1571788799999,345859.35448500,2425,3989733.60000000,129648.60168000,0
2019-10-23,0.03154000,0.03170000,0.02700000,0.02796000,19126102.10000000,1571875199999,552220.11123900,3562,8435766.30000000,244069.86937900,0
2019-10-24,0.02802000,0.03050000,0.02677000,0.02848000,8276778.60000000,1571961599999,234088.05648000,1881,3927069.40000000,110693.26078300,0
2019-10-25,0.02861000,0.03128000,0.02801000,0.03061000,11756033.40000000,1572047999999,348630.82460200,2473,5294795.70000000,156957.88329100,0
2019-10-26,0.03082000,0.03333000,0.02886000,0.03049000,11447374.70000000,1572134399999,353629.92528000,2786,5690377.90000000,176045.26230300,0
2019-10-27,0.03039000,0.03256000,0.02908000,0.03180000,5148071.70000000,1572220799999,156991.70427200,1436,2447365.90000000,74978.31190500,0
2019-10-28,0.03195000,0.03360000,0.03032000,0.03168000,8653756.60000000,1572307199999,272565.73994400,2144,3762804.70000000,118865.28957300,0
2019-10-29,0.03179000,0.03462000,0.03144000,0.03404000,7673860.80000000,1572393599999,253727.76057900,2564,3614763.60000000,119569.39376400,0
2019-10-30,0.03404000,0.03410000,0.03198000,0.03272000,7791843.30000000,1572479999999,256812.19750700,1835,2168046.60000000,71700.64145600,0
2019-10-31,0.03295000,0.03391000,0.03154000,0.03320000,5026196.80000000,1572566399999,163072.43337600,1322,1496687.60000000,48946.14936700,0
2019-11-01,0.03335000,0.03509000,0.03273000,0.03475000,4362623.60000000,1572652799999,148773.63070700,1199,2430178.90000000,82888.68109500,0
2019-11-02,0.03475000,0.03500000,0.03320000,0.03431000,3489958.00000000,1572739199999,117936.77933300,895,1710680.00000000,57905.65543000,0
2019-11-03,0.03451000,0.03750000,0.03333000,0.03691000,11999172.20000000,1572825599999,422671.98592300,2916,5816224.50000000,205052.82790800,0
2019-11-04,0.03691000,0.03939000,0.03553000,0.03661000,14630517.40000000,1572911999999,542565.32510200,3363,5802136.90000000,215366.05112400,0
2019-11-05,0.03654000,0.03735000,0.03502000,0.03612000,5474607.20000000,1572998399999,198018.46952300,1390,2251831.60000000,81455.65324800,0
2019-11-06,0.03612000,0.03730000,0.03376000,0.03421000,6929708.80000000,1573084799999,241026.67083400,1468,2877553.50000000,100338.34269500,0
